
Full Report
epoch=1900
numDocs=2117
numTokens=35464
numWords=2785
numTopics=20

TOPIC 0  (total count=2095)
SYMBOL             WORD    COUNT   PROB          Z
desire(16) thing(1) bit(16) others(16) half(16) handsome(3) nor(3) half(3) humoured(3) giving(6) preference(7) 

DOC 26
TOPIC    COUNT    PROB
----------------------
   12        3   0.282
    8        2   0.191
    0        1   0.100
    1        1   0.100
    3        1   0.100
    6        1   0.100

none(6) recommend(3) silly(1) ignorant(0) like(12) girls(8) something(12) quickness(8) sisters(12) 

DOC 27
TOPIC    COUNT    PROB
----------------------
    1        4   0.513
    2        1   0.138
    4        1   0.138

children(2) take(1) delight(4) compassion(1) poor(1) nerves(1) 

DOC 28
TOPIC    COUNT    PROB
----------------------
   18        6   0.436
   12        3   0.221
   17        2   0.150
    9        1   0.079

mistake(17) high(18) respect(18) nerves(17) old(18) friends(12) mention(12) consideration(12) these(18) twenty(18) years(18) least(9) 

DOC 29
TOPIC    COUNT    PROB
----------------------
    0        1   0.275
   13        1   0.275

ah(13) suffer(0) 

DOC 30
TOPIC    COUNT    PROB
