
Full Report
epoch=1900
numDocs=2478
numTokens=6091
numWords=870
numTopics=15

TOPIC 0  (total count=391)
SYMBOL             WORD    COUNT   PROB          Z
bats(2) eat(2) cats(2) couldn(2) answer(2) either(10) question(2) 

DOC 72
TOPIC    COUNT    PROB
----------------------
    2        1   0.244
    3        1   0.244
   14        1   0.244

didn(2) matter(14) felt(3) 

DOC 73
TOPIC    COUNT    PROB
----------------------
    3        2   0.323
    7        2   0.323
    5        1   0.169

begun(3) dream(5) walking(3) hand(7) hand(7) 

DOC 74
TOPIC    COUNT    PROB
----------------------
    8        3   0.689

dinah(8) saying(8) dinah(8) 

DOC 75
TOPIC    COUNT    PROB
----------------------
   10        2   0.382
    2        1   0.200
    4        1   0.200

ever(4) eat(2) bat(10) suddenly(10) 

DOC 76
TOPIC    COUNT    PROB
----------------------
   12        2   0.467
   13        1   0.244

dry(12) leaves(12) fall(13) 

DOC 77
TOPIC    COUNT    PROB
----------------------
    4        3   0.564
   11        1   0.200

bit(11) hurt(4) jumped(4) feet(4) 

DOC 78
TOPIC    COUNT    PROB
----------------------
    7        1   0.314
   13        1   0.314

dark(13) another(7) 

DOC 79
TOPIC    COUNT    PROB
----------------------
   13        2   0.467
    0        1   0.244

passage(13) still(13) sight(0) 

DOC 80
TOPIC    COUNT    PROB
----------------------
    2        1   0.314
   10        1   0.314

lost(2) away(10) 

DOC 81
TOPIC    COUNT    PROB
----------------------
    2        2   0.382
    9        2   0.382

hear(2) turned(9) corner(2) ears(9) 

DOC 82
TOPIC    COUNT    PROB
----------------------
    0        5   0.785

whiskers(0) late(0) getting(0) close(0) behind(0) 

DOC 83
TOPIC    COUNT    PROB
----------------------
    2        1   0.200
    6        1   0.200
    9        1   0.200
   10        1   0.200

turned(9) corner(2) longer(6) seen(10) 

DOC 84
TOPIC    COUNT    PROB
----------------------
    4        2   0.467
   10        1   0.244

low(4) hall(10) hanging(4) 

DOC 85
TOPIC    COUNT    PROB
----------------------
    7        1   0.440

roof(7) 

DOC 86
TOPIC    COUNT    PROB
----------------------
   10        1   0.440

hall(10) 

DOC 87
TOPIC    COUNT    PROB
----------------------
    7        2   0.600

side(7) trying(7) 

DOC 88
TOPIC    COUNT    PROB
----------------------
    4        3   0.477
    6        1   0.169
    7        1   0.169

walked(4) sadly(7) middle(4) wondering(6) ever(4) 

DOC 89
TOPIC    COUNT    PROB
----------------------



DOC 90
TOPIC    COUNT    PROB
----------------------
    8        1   0.314
   12        1   0.314

suddenly(12) table(8) 

DOC 91
TOPIC    COUNT    PROB
----------------------
   13        3   0.477
    7        2   0.323

glass(13) except(7) tiny(7) golden(13) key(13) 

DOC 92
TOPIC    COUNT    PROB
----------------------
   10        1   0.440

hall(10) 

DOC 93
TOPIC    COUNT    PROB
----------------------
